Symbol,Issue_Name,Primary_Listing_Mkt
MYMMF,MYM Nutraceuticals Inc Ordinary Shares (Canada),U
MYMRF,Myanmar Metals Ltd Ordinary Shares (Austrailia),U
MYMX,Mymetics Corporation Common Stock,U
MYN,"BLACKROCK MUNIYIELD NEW YORK QUALITY FUND, INC.",NYSE
MYO,Myomo Inc.,AMEX
MYOV,Myovant Sciences Ltd.,NYSE
MYPHY,Mayne Pharma Group Limited American Depositary Receipts - Unsponsored (Australia),U
MYPRF,Malaysia Airports Holdings BHD (Malaysia),U
MYRBY,MEYER BURGER TECHNOLOGY AG  American Depositary Receipts - Unsponsored (Switzerland),U
MYRG,"MYR Group, Inc. Common Stock",NASDAQ
MYRLF,Meryllion Resources Corp. Ordinary Shares,U
MYRPF,Mysale Group Plc Ordinary Shares (Jersey),U
MYRX,"Myrexis, Inc. Common Stock",U
MYRY,"Myriad Interactive Media, Inc. Common Stock",U
MYSL,"My Screen Mobile, Inc. Common Stock",U
MYSN,"MYSON GROUP, INC. Common Stock",U
MYSRF,"Moneysupermarket.com Group PLC, Chester Ordinary Shares (United Kingdom)",U
MYSZ,"My Size, Inc. Common Stock",NASDAQ
MYT,"Urban Tea, Inc. Ordinary Shares",NASDAQ
MYTAY,Magyar Telekom Telecommunications PLC. American Depositary Shares (Each Representing five Ordinary Shares),U
MYTE,"MYT Netherlands Parent B.V. American Depositary Shares, each representing one Ordinary Share",NYSE
MYTEF,Telekom Malaysian Bhd Ordinary Shares,U
MYTG,MU YAN TECHNOLOGY GROUP CO LTD Common Stock,U
MYTHF,Mytilineos Hldgs Sa Ordinary Shares,U
MYTHY,Mytilineos S.A. American Depositary Receipts - Unsponsored,U
MYY,ProShares Short MidCap400,ARCA
MYZQF,Advanced Human Imaging Ltd Ordinary Shares,U
MZDAF,Mazda Motor Corp Ordinary Shares (Japan),U
MZDAY,Mazda Motor Corp Unsponsored ADR (Japan),U
MZEIQ,"Medizone International, Inc. Common Stock",U
MZHOF,Mizuho Financial Group Inc Tokyo Ordinary Shares,U
MZPS,"Myzipsoft, Inc. Common Stock",U
MZTFF,Mizrahi Tefahot Bank Ltd Ordinary Shares (Israel),U
MZTLF,John Menzies Plc Ordinary Shares (United Kingdom),U
MZZ,ProShares UltraShort MidCap400,ARCA
MZZMF,Matador Mining Ltd. Ordinary Shares (Australia),U
NAAC,North Atlantic Acquisition Corporation Class A Ordinary Share,NASDAQ
NAACU,North Atlantic Acquisition Corporation Unit,NASDAQ
NAACW,North Atlantic Acquisition Corporation Warrant,NASDAQ
NABA,National Bancshares Inc (IA) Common Shares,U
NABXF,Nabaltec AG Ordinary Shares (Germany),U
NABZY,National Australia Bank Limited Common Stock,U
NAC,Nuveen California Quality Municipal Income Fund,NYSE
NACB,NATIONAL CAP BANCORP INC Common Stock,U
NACOF,"Nacional Financiera S N C Shares of Industrial, Retail and service Companies Indexes (Mexico)",U
NACP,Impact Shares NAACP Minority Empowerment ETF,ARCA
NACQF,NEXTPOINT ACQUISITION CORP CL A RESTRICTED VOTING SH (Canada),U
NAD,Nuveen Quality Municipal Income Fund,NYSE
NADA,"North American Datacom, Inc. Common Stock",U
NAECF,National Arts Entertainment & Culture Group Ltd Ordinary Shares (Bermuda),U
NAEX,"National Art Exchange, Inc. Common Shares",U
NAFS,"North America Frac Sand, Inc. Common Stock",U
NAHD,"New Asia Holdings, Inc. Common Stock",U
NAII,"Natural Alternatives International, Inc. Common Stock",NASDAQ
NAIL,Direxion Daily Homebuilders & Supplies Bull 3X Shares,ARCA
NAJSF,North Atlantic Smaller Companies Investment Trust plc Ordinary Shares (United Kingdom),U
NAK,"Northern Dynasty Minerals, Ltd.",AMEX
NAKD,Naked Brand Group Limited Ordinary Shares,NASDAQ
NAMX,North Amern Explorn  Corp New Common Stock,U
NAN,Nuveen New York Quality Municipal Income Fund,NYSE
NANHF,Nan Hai Corp Ltd Ordinary Shares (Bermuda) HKD,U
NANHY,Nan Hai Corp Ltd Unsponsored ADR (Bermuda),U
NANN,NANOVATION MICROTECH INC Common Stock,U
NANR,SPDR S&P North American Natural Resources ETF,ARCA
NANX,Nanophase Technologies Corporation Common Stock,U
NAOV,"NanoVibronix, Inc. Common Stock",NASDAQ
NAPA,"The Duckhorn Portfolio, Inc.",NYSE
NAPR,Innovator Nasdaq-100 Power Buffer ETF - April,BATS
NAPRF,Naspers Limited N Shs Ordinary Shares,U
NARI,"Inari Medical, Inc. Common Stock",NASDAQ
NARRF,Nagoya Railroad Co Ltd Ord Ordinary Shares Japan(JP ),U
NASB,NASB Financial Inc. Common Stock,U
NAT,Nordic American Tanker,NYSE
NATH,"Nathan's Famous, Inc. Common Stock",NASDAQ
NATI,National Instruments Corporation Common Stock,NASDAQ
NATR,"Nature's Sunshine Products, Inc. Common Stock",NASDAQ
NATUF,North Amern Tungsten Cp Ltd Ordinary Shares,U
NAUBF,National Australia Bk Ltd  Ord Ordinary Shares,U
NAUH,"National American University Holdings, Inc. Common Stock",U
NAV,Navistar International,NYSE
NAV PRD,"Navistar International Corporation Cumulative Convertible Junior Preference Stock, Series D",NYSE
NAVB,Navidea Biopharmaceuticals Inc.,AMEX
NAVI,Navient Corporation Common Stock,NASDAQ
NAVVF,NAVF PLC ORD GBP0.01 (United Kingdom),U
NAZ,Nuveen Arizona Quality Municipal Income Fund,NYSE
NBA,New Beginnings Acquisition Corp.,AMEX
NBA U,"New Beginnings Acquisition Corp. Units, each consisting of one share of common stock and one redeema",AMEX
NBA WS,"New Beginnings Acquisition Corp. Redeemable Warrants, each warrant exercisable for one share of Comm",AMEX
NBB,Nuveen Taxable Municipal Income Fund,NYSE
NBBTF,Natural Beauty Bio Technology Limited Ordinary Shares,U
NBCO,"Neon Bloom, Inc. Common Stock",U
NBDR,"No Borders, Inc. Common Stock",U
NBEV,"NewAge, Inc. Common Stock (Delaware)",NASDAQ
NBFJF,Nippon Building Fund Inc Ordinary Shares (Japan),U
